"Filename","Google_Photos_Link","GPSLatitude","GPSLongitude","Survey_run"
"IMG_0076_D","https://photos.google.com/photo/AF1QipMVvZ4jS8zRZndR8mTixWAO4cIp5wTTJZVV8dGL",55.9012,-4.2838,"D"
"IMG_0077_D","https://photos.google.com/photo/AF1QipN-eHpiKqNT0FD53DSbGAEqPC3ET5QD7VZ-YH4J",55.9018,-4.2838,"D"
"IMG_0078_D","https://photos.google.com/photo/AF1QipPNHpXulPep5jEDD49q4luxcA-DWO2xke67HvGq",55.9028,-4.2837,"D"
"IMG_0079_D","https://photos.google.com/photo/AF1QipO35Viad2YsasNawEQxFWcsU3kjET1vjxzOtbIf",55.9032,-4.2833,"D"
"IMG_0080_D","https://photos.google.com/photo/AF1QipOhi6aludZXExGcsGUdExkSqDrgiw-nqsHaJln0",55.9033,-4.2834,"D"
"IMG_0081_D","https://photos.google.com/photo/AF1QipMCqDiZnU247aluw9E6NY61NK4-FqPQa5sVtihK",55.9038,-4.283,"D"
"IMG_0082_D","https://photos.google.com/photo/AF1QipP6fSGlTnbeFo2ZnwD0sz281BHg2yH3BgI-gA-m",55.904,-4.2828,"D"
"IMG_0083_D","https://photos.google.com/photo/AF1QipNGaI8-C_byguWX3ijvHCnTIuCP5IvTE7NbPOM0",55.904,-4.2826,"D"
"IMG_0084_D","https://photos.google.com/photo/AF1QipO9TD_qLip_Ogo7sg-L_x9dbmSRxG5FAImQ1-MX",55.9042,-4.2825,"D"
"IMG_0085_D","https://photos.google.com/photo/AF1QipNjKP7_Xfj8NSIYdpzTsRXzUGIlYuPpO_wWiApV",55.9048,-4.2814,"D"
"IMG_0086_D","https://photos.google.com/photo/AF1QipN1hYwDyII8PuqHhsJdSzjSlk73gWB-_JJV6D0M",55.9049,-4.2811,"D"
"IMG_0087_D","https://photos.google.com/photo/AF1QipMRHczl-3900HD7rDR6_hddYGg81p3YtFUfzyss",55.9053,-4.2814,"D"
"IMG_0088_D","https://photos.google.com/photo/AF1QipPvfd_LOEgUFsk7Db_s2ajjQnjUBMFTfyomUHVX",55.9054,-4.2813,"D"
"IMG_0089_D","https://photos.google.com/photo/AF1QipMTktaJh1zz7ufA1qBwnam8wEl2PEEz1t4ymwKq",55.9063,-4.2815,"D"
"IMG_0090_D","https://photos.google.com/photo/AF1QipMhse4D0-BL8v_8hiyFjfmRaVfxir-2hNbIWqI8",55.9064,-4.2813,"D"
"IMG_0091_D","https://photos.google.com/photo/AF1QipPoS2LRgfPf-PJotxTCu1pHxPyh7Ktm1djVYyy_",55.9063,-4.2807,"D"
"IMG_0092_D","https://photos.google.com/photo/AF1QipPwf_inyeA1YFGN2DF2D-sJaBaSVQFeGkC0Cun1",55.9062,-4.2826,"D"
"IMG_0093_D","https://photos.google.com/photo/AF1QipOMe6168GRostZY6oCRQS6ZLlqxB1ql0oq4RLy4",55.9061,-4.2828,"D"
"IMG_0094_D","https://photos.google.com/photo/AF1QipPXIK_oMEpLH01p_uaZv5BeN1sCXxAWPWazcSmH",55.9061,-4.2828,"D"
"IMG_0095_D","https://photos.google.com/photo/AF1QipMjr0zkMN3C6rhCptXpbJCyPTzisYIeLRuIW5Ze",55.9061,-4.2838,"D"
"IMG_0096_D","https://photos.google.com/photo/AF1QipODqIj1R1FQnUFetj8K8fm-Wgbb-4nTknQnakPX",55.9059,-4.2846,"D"
"IMG_0097_D","https://photos.google.com/photo/AF1QipNutMz6x9EHHg0SOGUjOgfNsk2UQfUF54zoiPjB",55.906,-4.2844,"D"
"IMG_0098_D","https://photos.google.com/photo/AF1QipOXBKy4HKSH41blAR31ogLVuSgxvSR0oeBnlg0c",55.9056,-4.2849,"D"
"IMG_0099_D","https://photos.google.com/photo/AF1QipOBvISO95_NdUcO4zoMF5FBhN-ATYLXSb4Ag9v6",55.9053,-4.2856,"D"
"IMG_0100_D","https://photos.google.com/photo/AF1QipNtThR7Tg7zDnWWEFNUmuMy0wIgaS4YHf2JmV-B",55.9053,-4.2857,"D"
"IMG_0101_D","https://photos.google.com/photo/AF1QipOXFRrpNydE4sJqL-cH9w2GjLAhNuYBe_JoV3gZ",55.9049,-4.287,"D"
"IMG_0102_D","https://photos.google.com/photo/AF1QipMtsN1N2uSt2Y8GZPIblAO5y5WYM89ebyiONN8m",55.9049,-4.287,"D"
"IMG_0103_D","https://photos.google.com/photo/AF1QipOhbLaP3VErLZjUrRAPJB88YLxSAUVQF0OZfK6S",55.9049,-4.2871,"D"
"IMG_0104_D","https://photos.google.com/photo/AF1QipOffPVLu1Blj7nAKglNIxHagkvaAfkFV-TSe_13",55.9046,-4.2858,"D"
"IMG_0105_D","https://photos.google.com/photo/AF1QipPFGiYS1UOoXtNZDMdABpmr47Y0AySWqcDrtTLA",55.9039,-4.2863,"D"
"IMG_0106_D","https://photos.google.com/photo/AF1QipPHgW37MXu-zICleD-Hy5ia6nGolKdAcNazPB80",55.9039,-4.2866,"D"
"IMG_0107_D","https://photos.google.com/photo/AF1QipMdsWNaFmEiJdFFLCVy5zPwi7wuYsaEwaNJx_xg",55.9036,-4.2859,"D"
"IMG_0108_D","https://photos.google.com/photo/AF1QipP2_w5lK04Ow-mDXB_rpuZgra1Y_jLvzeVRHMlS",55.9033,-4.2851,"D"
