photo_filename,Location,label_number,box_type,Photo_src
IMG_9967,Rothes Drive,,3,Photos/JPEGs/IMG_9967_A.jpg
IMG_9968,Ferndale Drive,,2,Photos/JPEGs/IMG_9968_A.jpg
IMG_9969,Ferndale Drive,GLA 8 PN103 SN8,1,Photos/JPEGs/IMG_9969_A.jpg
IMG_9970,Ferndale Gardens,,other,Photos/JPEGs/IMG_9970_A.jpg
IMG_9971,Ferndale Gardens,,3,Photos/JPEGs/IMG_9971_A.jpg
IMG_9972,(path),,other,Photos/JPEGs/IMG_9972_A.jpg
IMG_9973,(path),GLA 8 PN103 SN6,1,Photos/JPEGs/IMG_9973_A.jpg
IMG_9974,Ferndale Drive,,3,Photos/JPEGs/IMG_9974_A.jpg
IMG_9975,Ferndale Drive,GLA 8 PN103 SN9,1,Photos/JPEGs/IMG_9975_A.jpg
IMG_9976,Ferndale Drive,GLA 8 PN103 SN2,1,Photos/JPEGs/IMG_9976_A.jpg
IMG_9977,Rothes Drive,,2,Photos/JPEGs/IMG_9977_A.jpg
IMG_9978,Craigbo Drive,,other,Photos/JPEGs/IMG_9978_A.jpg
IMG_9979,Craigbo Drive,,2,Photos/JPEGs/IMG_9979_A.jpg
IMG_9980,Craigbo Drive,,other,Photos/JPEGs/IMG_9980_A.jpg
IMG_9981,Craigbo Road/Craigbo Court,GLA 8 PN103 SN3,1,Photos/JPEGs/IMG_9981_A.jpg
IMG_9982,Craigbo Road/Craigbo Court,D232002,other,Photos/JPEGs/IMG_9982_A.jpg
